BoncompagniLudovisi,Smillon,varietal
BoncompagniLudovisi,Semillon,varietal
Antinoo,Chardonnay,varietal
CastelDePaolis,Syrah,varietal
"Monastero S. Cistercensi","Verdicchio Blend",varietal
"Poggio Le Volpi",Baga,varietal
Proietti,Cesanese,varietal
Sant'Andrea,Merlot,varietal
Nicodemi,Trebbiano,varietal
Valentini,Trebbiano,varietal
Ciavolich,Pecorino,varietal
"Barone Valforte",Montepulciano,varietal
"Borgo di Colloredo",Montepulciano,varietal
"Mattia Barzaghi",Vernaccia,varietal
"Tenuta Mormoraia",Vernaccia,varietal
"Fattoria Corzano E Paterno","White wine",varietal
"Fattoria di Felsina Berardenga",Chardonnay,varietal
"Isole E Olana",Chardonnay,varietal
Piandibugnano,"White Blend",varietal
Querciabella,Chardonnay,varietal
Ciavoloich,Pecorino,varietal
"Azienda Agrituristica Fiorano",Pecorino,varietal
"Ercole Velenosi","Other White Blends",varietal
"Azienda Agricola La Distesa",Verdicchio,varietal
"San Lorenzo",Verdicchio,varietal
Sartarelli,Verdicchio,varietal
"Claudio Morelli",Bianchello,varietal
Fontezoppa,"White wine",varietal
Fontezoppa,"White Blend",varietal
"Di Filippo",Grechetto,varietal
Antinori,Chardonnay,varietal
"Paolo Bea","Trebbiano Spoletino",varietal
"Paolo Bea","White Blend",varietal
"Santa Cristina by Antinori","Other White Blends",varietal
"La Crotta di Vegneron","Petite Arvine",varietal
Brovia,Arneis,varietal
"Giovanni Almondo","Other White Wine",varietal
Gonella,Arneis,varietal
"Paitin di Pasquero-Elia",Arneis,varietal
"Germano Ettore",Nebbiolo,varietal
Bianchi,Erbaluce,varietal
"La Colombera",Timorasso,varietal
"Ettore Germano",Riesling,varietal
"Tenuta Grillo",Cortese,varietal
"Ca' Dei Frati",Verdicchio,varietal
Ca'Lojera,"White Blend",varietal
"San Giovanni","Rose Blend",varietal
"Conti Sertoli Salis",Chiavennasca,varietal
Pratello,"Manzoni Bianco",varietal
"Ca' Rugate",Garganega,varietal
Pra,Garganega,varietal
Gastaldia,Vespaiolo,varietal
"Castello di Lispida","White Blend",varietal
"Contra Soarda",Vespaiolo,varietal
"Corte Gardoni","White Blend",varietal
"La Biancara di Angiolino Maule",Garganega,varietal
"Caves Coopratives de Donnas",Nebbiolo,varietal
"Domaine Anne Gros  Jean-Paul Tollot",Carignan,varietal
"La Kiuva",Nebbiolo,varietal
"Les Crtes","Petit Touge",varietal
AR.PE.PE,Nebbiolo,varietal
Rainoldi,Nebbiolo,varietal
Frecciarossa,"Pinot Nero",varietal
Majolini,"Bordeaux Red Blends",varietal
"Azienda Agricola San Giovanni (Pasini)",Groppello,varietal
"Azienda Agricola Francesco Moser",Teroldego,varietal
"Franz Gojer",Kerner,varietal
"J. Hofstatter",Lagrein,varietal
"Cantina Vini Merano","Moscato Giallo",varietal
"Alessandro e Gian Natale Fantino",Nebbiolo,varietal
"Franz Gojer",Schiava,varietal
"Guerrieri Gonzaga",Merlot,varietal
"J. Hofstatter","Red Blend",varietal
"J. Hofstatter","Cabernet Sauvignon",varietal
"Pojer  Sandri","Other White Wine",varietal
"Tenuta Giuncheo","Red Blend",varietal
"Laura Aschero",Vermentino,varietal
Primaterra,Zinfandel,varietal
"Turco Innocenzo",Grenache,varietal
T-Vine,Charbono,varietal
"Happy Canyon",Grenache,varietal
"Forlorn Hope",Alvarelho,varietal
"Terredora Dipaolo",Aglianico,varietal
Alois,Falanghina,varietal
Angelarosa,Falanghina,varietal
"Villa Matilde","Other White Blends",varietal
"Mariso Cuomo",Falanghina,varietal
"Michelle Perillo",Falanghina,varietal
"Colacino Wines Societ Agricola",Malvasia,varietal
Crifo,"Bombino Bianco",varietal
Librandi,"Greco di Tufo",varietal
Scala,"Greco Bianco",varietal
"Ferruccio Deiana",Vermentino,varietal
"Cantina Mesa",Vermentino,varietal
Panevino,Mourvedre,varietal
"Di Giovanna",Grillo,varietal
"Casa Vinicola Firriato",Ansonica,varietal
"Azienda Agricola Carlo Hauner",Catarratto,varietal
"Il Cantante",Carricante,varietal
Lunate,Fiano,varietal
"Porta Winery",Catarratto,varietal
Vivera,Carricante,varietal
"Chateau Calon-Segur","Bordeaux Red Blends",varietal
